weight(kg);height(m);age (years);gender;BMR;BMI
16,09786215;0,932024876;2;F;958,584;18,53161187
14,61937396;0,916686882;4;F;932,383;17,39749587
17,89991842;0,997287719;4;F;977,578;17,9974141
13,53288039;1,022786302;3;F;944,689;12,93660855
17,03948448;1,053976657;4;M;799,229;15,33890885
12,03266152;1,078630268;3;F;939,781;10,34228483
17,79490078;1,070392529;2;M;831,386;15,53135807
15,7891791;0,912255755;3;F;947,56;18,97257713
13,30054074;1,068686096;3;F;950,262;11,64579066
15,50430712;0,900704065;4;F;938,161;19,11120705
17,50893924;0,969314001;4;M;763,329;18,63506295
15,32879929;0,919601527;5;F;934,989;18,12628359
17,7699926;1,034729541;3;F;987,396;16,59715123
13,54752525;0,869576804;4;F;914,084;17,91612468
12,22731114;0,976228411;5;F;914,841;12,83004199
14,13350551;1,026730618;2;F;955,826;13,40716229
15,46426242;0,881802606;4;M;691,562;19,88778678
13,73612261;0,921880168;3;F;929,486;16,16274845
16,16048871;1,052551645;3;M;793,275;14,58705637
14,00911239;1,052677023;5;F;944,943;12,64213233
16,89445797;0,920241477;3;F;959,528;19,94989687
12,73698974;1,004816469;2;F;938,694;12,61517589
17,3768261;1,016245982;5;F;971,079;16,82568569
16,36705049;0,89302642;3;F;949,838;20,52304547
17,10288082;0,961706548;4;F;963,878;18,49201017
17,19729221;0,872038784;2;M;724,022;22,61457704
14,72894122;0,87605263;4;M;678,613;19,1915978
17,04224213;1,076200937;4;F;982,76;14,71431333
16,95414373;0,979565436;4;F;965,486;17,66887732
12,15435816;0,941159152;4;F;912,879;13,72163587
17,70067188;1,051633097;3;F;989,604;16,0052057
17,27536526;1,02816772;4;F;976,832;16,34177811
14,32328957;0,862320306;2;M;679,789;19,26218485
14,42349762;0,915000116;4;F;930,216;17,22773922
17,54437153;0,94207993;2;F;974,18;19,76798088
12,37334081;0,96029636;5;F;913,534;13,41764847
15,98586331;0,89995025;3;M;714,581;19,73781581
15,27720682;0,876798553;4;F;931,917;19,87212496
12,81208153;0,995329715;4;F;928,402;12,93259728
17,36320957;1,02861361;2;F;987,151;16,41063833
17,44177332;0,910405186;3;F;963,11;21,0436559
12,02379763;1,051508926;2;F;939,785;10,87466107
14,729477;0,904782627;2;F;940,816;17,99280282
12,39642582;0,876893627;3;F;908,978;16,12139647
16,59953728;0,990820081;4;F;963,995;16,90855061
16,81284095;0,897878685;5;M;711,275;20,85478808
16,16655977;1,066244179;3;M;800,204;14,22015289
16,73587579;1,005205013;3;F;972,449;16,56300573
12,66582382;0,946988085;3;F;923,48;14,12356762
15,3800087;1,030568755;3;F;963,745;14,48113621
12,80444366;0,902397421;4;F;912,53;15,72407195
16,90287188;0,927339514;3;F;960,815;19,655449
15,47925086;0,897214401;5;F;932,627;19,229034
16,62662689;0,857936695;2;F;951,065;22,58882622
17,25605811;0,960194461;5;F;960,391;18,7164381
17,33937661;0,945823289;5;F;958,748;19,38266425
16,37459274;0,926743183;3;F;955,642;19,065654
13,35160467;0,902128946;3;F;922,437;16,40575527
16,62070201;1,000329172;5;F;961,115;16,60976527
17,43157066;1,03394173;4;M;794,583;16,30588566
15,31493685;0,884361904;4;M;690,796;19,58191488
12,1375107;1,059646352;3;F;937,56;10,8095529
13,96649737;0,975316429;4;F;936,082;14,68237878
12,09366769;0,897234106;4;F;904,829;15,02264775
14,6779114;0,860156107;4;F;923,334;19,83853998
16,97142841;1,045128907;4;M;793,873;15,53741181
12,2721566;1,062752222;4;F;934,681;10,86567835
15,34795895;0,862133061;3;M;686,934;20,64914286
13,062553;0,900754665;3;F;919,429;16,09959775
16,69240566;0,879008607;2;M;720,59;21,60392571
15,52308519;1,060456653;4;F;965,499;13,8035947
16,47296194;1,036010603;3;M;789,285;15,34769976
13,86684014;1,078327337;4;M;767,939;11,92549126
12,88073382;0,887167423;5;F;905,974;16,36550584
13,92090389;0,902510234;3;F;927,967;17,09083041
15,37128022;1,031410311;3;F;963,804;14,44930978
17,36984632;0,860990041;3;F;954,019;23,43147998
16,20679726;0,999965033;3;F;966,479;16,20793072
14,21854995;1,021274071;3;F;951,015;13,63234902
13,04027498;0,873605025;3;F;914,599;17,08663346
16,7016847;0,929452405;2;F;963,943;19,33329908
17,59041162;1,033654663;4;M;796,616;16,46360984
15,02615268;0,867035449;3;F;932,547;19,98821856
15,12032463;0,900726598;4;F;934,479;18,63696289
12,87727914;0,985650989;5;F;922,683;13,2549406
15,80107056;0,888981619;4;F;939,017;19,99405808
15,61509604;1,067485429;3;F;972,277;13,70316063
14,63058813;0,949596091;3;F;942,785;16,2249717
15,3481706;1,050225654;3;F;966,781;13,91526152
17,57539565;0,953758917;2;M;770,062;19,32092379
12,38018227;0,877142671;4;F;904,164;16,09113063
17,62774249;0,887496483;4;F;956,301;22,38017182
14,76635675;1,048003023;5;F;951,418;13,44461239
17,50829462;0,977599274;3;F;975,172;18,31985808
15,85014891;0,90276988;5;F;937,132;19,44819162
14,47683534;0,863773605;2;M;682,619;19,40321861
15,79009848;0,907607199;3;F;946,778;19,16853732
15,15187993;1,036914608;4;F;957,934;14,09225633
12,21424116;0,965384769;5;F;912,872;13,10586244
16,17711044;1,037973723;3;F;972,656;15,0151001
17,62950208;0,89013878;3;M;732,194;22,24972271
17,08145353;1,034677313;3;F;980,777;15,95566726
14,88790129;0,885767143;2;F;939,104;18,97554894
17,28648677;0,864693733;3;F;953,848;23,1196958
17,89846772;1,047072566;4;F;986,028;16,32534212
12,72175464;1,07565663;3;F;945,89;10,99511304
14,94351318;1,008893933;4;F;951,17;14,68120457
17,87390878;0,856327709;5;F;948,665;24,3747148
17,60215014;0,96764451;4;F;969,68;18,79896967
17,45822876;1,017917018;4;M;786,936;16,84905041
17,57989245;0,873733773;5;M;709,711;23,02809262
15,90631632;1,047989099;5;M;773,911;14,48291842
